0,1,2
216,146,24
146,240,97
24,97,194
217,25,147
25,194,101
147,101,242
240,148,96
148,218,29
96,29,192
218,149,27
149,253,150
27,150,219
192,28,98
28,219,151
98,151,241
242,100,152
100,193,32
152,32,221
193,99,30
99,241,153
30,153,220
221,31,155
31,220,154
155,154,254
252,145,156
145,217,35
156,35,222
217,147,33
147,242,103
33,103,197
222,34,157
34,197,107
157,107,244
242,152,102
152,221,38
102,38,195
221,155,36
155,254,158
36,158,223
195,37,104
37,223,159
104,159,243
244,106,160
106,196,41
160,41,225
196,105,39
105,243,161
39,161,224
225,40,163
40,224,162
163,162,255
252,156,164
156,222,44
164,44,226
222,157,42
157,244,109
42,109,200
226,43,165
43,200,113
165,113,246
244,160,108
160,225,47
108,47,198
225,163,45
163,255,166
45,166,227
198,46,110
46,227,167
110,167,245
246,112,168
112,199,50
168,50,229
199,111,48
111,245,169
48,169,228
229,49,171
49,228,170
171,170,256
252,164,144
164,226,53
144,53,216
226,165,51
165,246,115
51,115,203
216,52,146
52,203,119
146,119,240
246,168,114
168,229,56
114,56,201
229,171,54
171,256,172
54,172,230
201,55,116
55,230,173
116,173,247
240,118,148
118,202,59
148,59,218
202,117,57
117,247,174
57,174,231
218,58,149
58,231,175
149,175,253
257,176,177
176,232,62
177,62,233
232,178,60
178,248,121
60,121,206
233,61,179
61,206,125
179,125,249
248,180,120
180,234,65
120,65,204
234,181,63
181,254,154
63,154,220
204,64,122
64,220,153
122,153,241
249,124,182
124,205,68
182,68,235
205,123,66
123,241,151
66,151,219
235,67,183
67,219,150
183,150,253
257,184,176
184,236,71
176,71,232
236,185,69
185,250,127
69,127,209
232,70,178
70,209,131
178,131,248
250,186,126
186,237,74
126,74,207
237,187,72
187,255,162
72,162,224
207,73,128
73,224,161
128,161,243
248,130,180
130,208,77
180,77,234
208,129,75
129,243,159
75,159,223
234,76,181
76,223,158
181,158,254
257,188,184
188,238,80
184,80,236
238,189,78
189,251,133
78,133,212
236,79,185
79,212,137
185,137,250
251,190,132
190,239,83
132,83,210
239,191,81
191,256,170
81,170,228
210,82,134
82,228,169
134,169,245
250,136,186
136,211,86
186,86,237
211,135,84
135,245,167
84,167,227
237,85,187
85,227,166
187,166,255
257,177,188
177,233,89
188,89,238
233,179,87
179,249,139
87,139,215
238,88,189
88,215,143
189,143,251
249,182,138
182,235,92
138,92,213
235,183,90
183,253,175
90,175,231
213,91,140
91,231,174
140,174,247
251,142,190
142,214,95
190,95,239
214,141,93
141,247,173
93,173,230
239,94,191
94,230,172
191,172,256
